Ly6c2,('', 'no hits')
Ang6,('', 'no hits')
D10Wsu102e,('', 'no hits')
Rdh7,('', 'no hits')
Zfp869,('', 'no hits')
Gm9,('', 'no hits')
Sh2d1b2,('', 'no hits')
Vmn2r86,('', 'no hits')
Vmn1r232,('', 'no hits')
1700017N19Rik,('', 'no hits')
AY761184,('', 'no hits')
Eci3,('', 'no hits')
AI593442,('', 'no hits')
Gm4847,('', 'no hits')
Ceacam10,('', 'no hits')
1700129C05Rik,('', 'no hits')
Fam149b,('', 'no hits')
1110001A16Rik,('', 'no hits')
Zfp459,('', 'no hits')
Vmn1r228,('', 'no hits')
Nxf7,('', 'no hits')
Abcg3,('', 'discontinued')
AF529169,('', 'no hits')
Dmrtc1c2,('', 'no hits')
Vmn2r90,('', 'no hits')
Gm6878,('', 'no hits')
Vmn2r69,('', 'no hits')
Mrgprb2,('', 'no hits')
Akr1c13,('', 'no hits')
Cyp3a57,('', 'no hits')
H2-M10.1,('', 'no hits')
Zfp639,('', 'no hits')
Ifi203,('', 'no hits')
Tcstv3,('', 'no hits')
Zfp706,('', 'no hits')
3110047P20Rik,('', 'no hits')
Vmn2r99,('', 'no hits')
Oas1f,('', 'no hits')
Gm561,('', 'no hits')
Adam39,('', 'no hits')
1700055N04Rik,('', 'no hits')
Tprg,('', 'no hits')
Aldh1a7,('', 'no hits')
Prss52,('', 'no hits')
Zfp668,('', 'no hits')
Raet1d,('', 'no hits')
Gm382,('', 'no hits')
Gm4841,('', 'no hits')
Taar7f,('', 'no hits')
Slco1b2,('', 'no hits')
Uba1y,('', 'no hits')
4930451I11Rik,('', 'no hits')
1700015G11Rik,('', 'no hits')
1700094D03Rik,('', 'no hits')
BC005537,('', 'no hits')
4930502E18Rik,('', 'no hits')
Prss39,('', 'no hits')
Trim12a,('', 'no hits')
Igbp1b,('', 'no hits')
Tsga8,('', 'no hits')
Zfp592,('', 'no hits')
Zfp672,('', 'no hits')
Gm17660,('', 'no hits')
Gimap9,('', 'no hits')
Cyp2j8,('', 'no hits')
1700025G04Rik,('', 'no hits')
Gbp2b,('', 'no hits')
Prl2c5,('', 'no hits')
Cyp2c29,('', 'no hits')
Tas2r121,('', 'no hits')
BC005624,('', 'no hits')
Tas2r114,('', 'no hits')
Vmn2r56,('', 'no hits')
Tgoln1,('', 'discontinued')
5730507C01Rik,('', 'no hits')
Vmn1r210,('', 'no hits')
Tcl1b3,('', 'no hits')
Vmn2r27,('', 'no hits')
Apol10a,('', 'no hits')
D19Ertd737e,('', 'no hits')
Gm20581,('', 'no hits')
Calm5,('', 'no hits')
Hbb-bh1,('', 'no hits')
Gm6040,('', 'no hits')
Scgb1b24,('', 'no hits')
Cyp2f2,('', 'no hits')
Ngp,('', 'no hits')
Serpina1d,('', 'no hits')
1810024B03Rik,('', 'no hits')
Gm10354,('', 'no hits')
Vmn1r73,('', 'no hits')
Cyp2c54,('', 'no hits')
Vmn2r24,('', 'no hits')
Scgb1b2,('', 'no hits')
